id,name,address,latitude,longitude
292,IL CORTILE RESTAURANT,123 MULBERRY STREET Manhattan 10013,40.717894,-73.998077
295,COBBLESTONE PUB,117-18 QUEENS BOULEVARD Queens 11375,40.7154,-73.832941
296,NEARY'S PUB,358 EAST   57 STREET Manhattan 10022,40.758794,-73.967213
297,DENINO'S PIZZERIA TAVERN,524 PORT RICHMOND AVENUE Staten Island 10302,40.629988,-74.140201
298,MICHAEL'S RESTAURANT,2929 AVENUE R Brooklyn 11229,40.607401,-73.943131
299,LITTLE BROWN JUG,12402 JAMAICA AVENUE Queens 11418,40.700829,-73.826355
300,LA FUSTA RESTAURANT,80-32 BAXTER AVENUE Queens 11373,40.744769,-73.884556
301,SPRING ST. NATURAL RESTAURANT,62 SPRING STREET Manhattan 10012,40.722283,-73.9971
302,PIZZA WAGON,8606 5 AVENUE Brooklyn 11209,40.6212,-74.026476
303,RUSSIAN TURKISH BATHS,268 EAST 10 STREET Manhattan 10009,40.728271,-73.983244
306,NEW FLORIDIAN DINER,2301 FLATBUSH AVENUE Brooklyn 11234,40.613976,-73.927252
307,LA MANGEOIRE,1008 2 AVENUE Manhattan 10022,40.758794,-73.967213
308,FINNEGAN'S WAKE,1361 FIRST AVENUE Manhattan 10021,40.768605,-73.955417
309,GABY'S PIZZA,20423 HILLSIDE AVENUE Queens 11423,40.72044,-73.760855
310,VERDI RESTAURANT,149-58 CROSS ISLAND PARKWAY Queens 11357,40.787025,-73.813976
311,BLUE BAY RESTAURANT,3533 JOHNSON AVENUE The Bronx 10463,40.886522,-73.909706
312,JODY'S CLUB,372 FOREST AVENUE Staten Island 10301,40.631015,-74.101875
314,MARINA DELRAY,2894 SCHURZ AVE The Bronx 10465,40.814544,-73.81509
315,CHARLIES SPORTS BAR,4408 60TH ST. - STORE Queens 11377,40.73989,-73.90452
316,NARROWS COFFEE SHOP,10001 4 AVENUE Brooklyn 11209,40.612835,-74.033641
317,COUSIN JOHN'S CAFE AND BAKERY,70 7 AVENUE Brooklyn 11217,40.675371,-73.974831
318,RUSSIAN SAMOVAR,256 WEST   52 STREET Manhattan 10019,40.763134,-73.984237
13160,SIMPLY CHICKEN & CARNEGIE DELI,4 PENNSYLVANIA PLAZA Manhattan 10001,40.750166,-73.996575
13140,CITI BAGEL & DELI,6372 AMBOY ROAD Staten Island 10309,40.522593,-74.216594
320,WHITESTONE LANES,3005 WHITESTONE EXPRESSWAY Queens 11354,40.770972,-73.833307
321,JOHN'S PIZZERIA,8502 GRAND AVENUE Queens 11373,40.734958,-73.881991
322,TIO PEPE,168 WEST    4 STREET Manhattan 10014,40.732052,-74.001395
323,IRISH COTTAGE,108-07 72 AVENUE Queens 11375,40.719816,-73.842325
325,MCDONALD'S,819 PENNSYLVANIA AVENUE Brooklyn 11207,40.657652,-73.889813
326,JOSIE'S RESTAURANT,300 AMSTERDAM AVENUE Manhattan 10023,40.779925,-73.980671
327,"Centerplate, Jacob Javitz Convention Center",655 WEST   34 STREET Manhattan 10001,40.750166,-73.996575
328,CAFE UN DEUX TROIS,123 WEST   44 STREET Manhattan 10036,40.759522,-73.990194
329,KNICKERBOCKER BAR & GRILL,33 UNIVERSITY PLACE Manhattan 10003,40.732093,-73.994335
330,MR BROADWAY KOSHER RESTAURANT,1372 BROADWAY Manhattan 10018,40.752356,-73.987454
331,NI-NI'S CAFE,710 NEW DORP LANE Staten Island 10306,40.565739,-74.10022
332,BURGER BARN RESTAURANT,3092 WHITE PLAINS ROAD The Bronx 10467,40.871251,-73.867204
334,MCDONALD'S,75-50 101 AVENUE Queens 11416,40.679739,-73.861912
356,AMORE PIZZERIA & RESTAURANT,30-27 STRATTON STREET Queens 11354,40.769417,-73.83433
335,KANES DELI DINER,4415 COLLEGE POINT BOULEVARD Queens 11355,40.75335,-73.832641
359,TJK CAFE & RESTAURANT,24904 HORACE HARDING BOULEVARD Queens 11362,40.760834,-73.730827
336,WHITE CASTLE,900 PENNSYLVANIA AVENUE Brooklyn 11207,40.655995,-73.888783
337,J & R PIZZA,1916 KINGS HIGHWAY Brooklyn 11229,40.610427,-73.95425
338,CHEZ JOSEPHINE,414 WEST   42 STREET Manhattan 10036,40.759522,-73.990194
339,MCDONALD'S,943 FLATBUSH AVENUE Brooklyn 11226,40.648595,-73.958271
